step,energy,drift,timestamp
0,6.0869592049e-08,0.000000e+00,2025-11-14T23:51:16.106706Z
25,4.1097199952e-05,6.741680e+02,2025-11-14T23:51:16.190766Z
50,1.5755969606e-04,2.587480e+03,2025-11-14T23:51:16.292288Z
75,3.4781574842e-04,5.713113e+03,2025-11-14T23:51:16.408929Z
100,6.0920940602e-04,1.000744e+04,2025-11-14T23:51:16.511571Z
125,9.3812401921e-04,1.541103e+04,2025-11-14T23:51:16.632000Z
150,1.3300665858e-03,2.185008e+04,2025-11-14T23:51:16.738453Z
175,1.7797712131e-03,2.923809e+04,2025-11-14T23:51:16.833982Z
200,2.2813187146e-03,3.747779e+04,2025-11-14T23:51:16.966225Z
225,2.8282689117e-03,4.646340e+04,2025-11-14T23:51:17.081652Z
250,3.4138017501e-03,5.608286e+04,2025-11-14T23:51:17.187868Z
275,4.0308629888e-03,6.622029e+04,2025-11-14T23:51:17.292147Z
300,4.6723101517e-03,7.675835e+04,2025-11-14T23:51:17.385131Z
325,5.3310546561e-03,8.758057e+04,2025-11-14T23:51:17.482257Z
350,6.0001964461e-03,9.857361e+04,2025-11-14T23:51:17.586988Z
375,6.6731478997e-03,1.096292e+05,2025-11-14T23:51:17.697895Z
400,7.3437441852e-03,1.206462e+05,2025-11-14T23:51:17.791411Z
425,8.0063376448e-03,1.315316e+05,2025-11-14T23:51:17.888095Z
450,8.6558743058e-03,1.422026e+05,2025-11-14T23:51:17.988316Z
475,9.2879512945e-03,1.525867e+05,2025-11-14T23:51:18.099144Z
500,9.8988546970e-03,1.626230e+05,2025-11-14T23:51:18.216987Z
525,1.0485578121e-02,1.722620e+05,2025-11-14T23:51:18.333864Z
550,1.1045822779e-02,1.814660e+05,2025-11-14T23:51:18.457307Z
575,1.1577980312e-02,1.902086e+05,2025-11-14T23:51:18.574122Z
